kg,fcr
3.34,1.067200000000006
3.35,1.0680000000000058
3.36,1.0688000000000057
3.37,1.0696000000000057
3.38,1.0704000000000056
3.39,1.0712000000000055
3.4,1.0720000000000054
3.41,1.0728000000000053
3.42,1.0736000000000052
3.43,1.0744000000000051
3.44,1.075200000000005
3.45,1.076000000000005
3.46,1.0768000000000049
3.47,1.0776000000000048
3.48,1.0784000000000047
3.49,1.0792000000000046
3.5,1.0800000000000045
3.51,1.0808000000000044
3.52,1.0816000000000043
3.53,1.0824000000000042
3.54,1.0832000000000042
3.55,1.084000000000004
3.56,1.084800000000004
3.57,1.085600000000004
3.58,1.0864000000000038
3.59,1.0872000000000037
3.6,1.0880000000000036
3.61,1.0888000000000035
3.62,1.0896000000000035
3.63,1.0904000000000034
3.64,1.0912000000000033
3.65,1.0920000000000032
3.66,1.092800000000003
3.67,1.093600000000003
3.68,1.094400000000003
3.69,1.0952000000000028
3.7,1.0960000000000027
3.71,1.0968000000000027
3.72,1.0976000000000026
3.73,1.0984000000000025
3.74,1.0992000000000024
3.75,1.1000000000000023
3.76,1.1008000000000022
3.77,1.1016000000000021
3.78,1.102400000000002
3.79,1.103200000000002
3.8,1.1040000000000019
3.81,1.1048000000000018
3.82,1.1056000000000017
3.83,1.1064000000000016
3.84,1.1072000000000015
3.85,1.1080000000000014
3.86,1.1088000000000013
3.87,1.1096000000000013
3.88,1.1104000000000012
3.89,1.111200000000001
3.9,1.112000000000001
3.91,1.112800000000001
3.92,1.1136000000000008
3.93,1.1144000000000007
3.94,1.1152000000000006
3.95,1.1160000000000005
3.96,1.1168000000000005
3.97,1.1176000000000004
3.98,1.1184000000000003
3.99,1.1192000000000002
4,1.12
4.01,1.1208000000000087
4.02,1.1216000000000086
4.03,1.1224000000000085
4.04,1.1232000000000084
4.05,1.1240000000000083
4.06,1.1248000000000082
4.07,1.1256000000000081
4.08,1.126400000000008
4.09,1.127200000000008
4.1,1.1280000000000079
4.11,1.1288000000000078
4.12,1.1296000000000077
4.13,1.1304000000000076
4.14,1.1312000000000075
4.15,1.1320000000000074
4.16,1.1328000000000074
4.17,1.1336000000000073
4.18,1.1344000000000072
4.19,1.135200000000007
4.2,1.136000000000007
4.21,1.136800000000007
4.22,1.1376000000000068
4.23,1.1384000000000067
4.24,1.1392000000000067
4.25,1.1400000000000066
4.26,1.1408000000000065
4.27,1.1416000000000064
4.28,1.1424000000000063
4.29,1.1432000000000062
4.3,1.1440000000000061
4.31,1.144800000000006
4.32,1.145600000000006
4.33,1.1464000000000059
4.34,1.1472000000000058
4.35,1.1480000000000057
4.36,1.1488000000000056
4.37,1.1496000000000055
4.38,1.1504000000000054
4.39,1.1512000000000053
4.4,1.1520000000000052
4.41,1.1528000000000052
4.42,1.153600000000005
4.43,1.154400000000005
4.44,1.155200000000005
4.45,1.1560000000000048
4.46,1.1568000000000047
4.47,1.1576000000000046
4.48,1.1584000000000045
4.49,1.1592000000000044
4.5,1.1600000000000044
4.51,1.1608000000000043
4.52,1.1616000000000042
4.53,1.162400000000004
4.54,1.163200000000004
4.55,1.164000000000004
4.56,1.1648000000000038
4.57,1.1656000000000037
4.58,1.1664000000000037
4.59,1.1672000000000036
4.6,1.1680000000000035
4.61,1.1688000000000034
4.62,1.1696000000000033
4.63,1.1704000000000032
4.64,1.1712000000000031
4.65,1.172000000000003
4.66,1.172800000000003
4.67,1.1736000000000029
4.68,1.1744000000000028
4.69,1.1752000000000027
4.7,1.1760000000000026
4.71,1.1768000000000025
4.72,1.1776000000000024
4.73,1.1784000000000023
4.74,1.1792000000000022
4.75,1.1800000000000022
4.76,1.180800000000002
4.77,1.181600000000002
4.78,1.182400000000002
4.79,1.1832000000000018
4.8,1.1840000000000017
4.81,1.1848000000000016
4.82,1.1856000000000015
4.83,1.1864000000000015
4.84,1.1872000000000014
4.85,1.1880000000000013
4.86,1.1888000000000012
4.87,1.189600000000001
4.88,1.190400000000001
4.89,1.191200000000001
4.9,1.1920000000000008
4.91,1.1928000000000007
4.92,1.1936000000000007
4.93,1.1944000000000006
4.94,1.1952000000000005
4.95,1.1960000000000004
4.96,1.1968000000000003
4.97,1.1976000000000002
4.98,1.1984000000000001
4.99,1.1992
5,1.2
5.01,1.2005000000000055
5.02,1.2010000000000054
5.03,1.2015000000000053
5.04,1.2020000000000053
5.05,1.2025000000000052
5.06,1.2030000000000052
5.07,1.2035000000000051
5.08,1.204000000000005
